yacht_id,length_meters,beam_meters,draft_meters,year_built,engine_hours,fuel_capacity_l,water_capacity_l,num_cabins,num_berths,num_heads,engine_power_hp,cruise_speed_knots,max_speed_knots,range_nm,age_years,location,brand,condition,sale_price,asking_price_eur,length_to_beam_ratio,engine_hours_per_year,price_per_meter,age_to_length_ratio,fuel_per_meter,power_to_weight_ratio,size_category,age_category,speed_category,broker,listing_date,days_on_market,last_seen_date,listing_number,asking_price_usd,asking_price_gbp,sale_price_usd,sale_price_gbp,sale_to_ask_ratio
1,33.97371322408986,8.099033154879002,1.9598573800204946,2017,2774.676163912595,1492.830145013421,909.2839282344971,7,15,2,804.5773804702276,21.224196020499765,27.569685274045067,1280.4956333780838,7,Italian Coast,Viking,Good,2774871.52857542,3557237.6331679584,4.194786287993338,396.3823091303707,81677.01629411035,0.20604165208048217,43.94074133630158,23.682350385524625,Large,Modern,Fast,Riviera Yacht Sales,2023-01-10,70,2023-03-21,YACHT-0000,3841816.6438213955,3059224.364524444,2996861.250861454,2386389.514574861,0.7800635815561782
2,28.89388559063052,7.386950524369153,2.384385063427586,2019,641.8068103875231,1392.7940691466533,458.5712786774005,7,6,2,690.5758186200953,26.376028682162225,31.980649556885236,2020.057257220632,5,French Riviera,Fairline,Very Good,2403143.991104963,2866902.59583513,3.9114767988916594,128.36136207750462,83171.36798950416,0.17304699239279053,48.20376493766894,23.900413686279347,Medium,New,High-Performance,Luxury Yacht Group,2023-12-11,123,2024-04-12,YACHT-0001,3096254.803501941,2465536.232418212,2595395.51039336,2066703.832350268,0.8382370557674722
3,35.18150830480554,6.089445554880261,1.866064063200031,1998,1959.8671713294996,967.9697451008979,1025.0754337921794,4,15,5,900.0050900954415,16.94719150285309,28.06812496435599,1270.707016106072,26,Sardinia,Ferretti,Very Good,2684140.356690043,2949555.4109440846,5.777456746716463,75.37950658959613,76294.06713990739,0.7390245970906423,27.513594264197028,25.581765349511954,Large,Classic,Fast,Luxury Yacht Group,2023-05-04,161,2023-10-12,YACHT-0002,3185519.8438196117,2536617.6534119127,2898871.585225247,2308360.706753437,0.9100152337300595
4,42.184238851264205,5.029594833441639,2.2536307762887677,2020,169.29574337007944,1860.8482592227883,545.0890107246821,4,5,4,844.3397136536114,18.05685418155351,22.484888981641582,1478.1565866949506,4,Greek Islands,Bertram,Fair,3336926.0628524395,3851436.6984791565,8.387204188055538,42.32393584251986,79103.62148806287,0.09482214469018742,44.112405720626654,20.015525623933538,Superyacht,New,Moderate,Riviera Yacht Sales,2023-12-22,128,2024-04-28,YACHT-0003,4159551.634357489,3312235.5606920747,3603880.1478806348,2869756.414053098,0.8664107251639667
5,28.126773002213312,7.047334970420385,1.0,2010,1203.6990954532644,1048.6980065697546,1041.7745085629472,4,8,2,773.190000878959,8.0,22.146985685946145,2172.3992743500203,14,Croatia,Princess,Fair,1974163.1866415532,2355659.193101991,3.991121909242169,85.97850681809031,70188.04419853658,0.4977463998055636,37.2846898038119,27.48946709308303,Medium,Mature,Moderate,Med Yacht Brokers,2023-12-12,82,2024-03-03,YACHT-0004,2544111.9285501502,2025866.9060677122,2132096.2415728774,1697780.3405117358,0.8380512734704741
6,28.126904344406555,6.590228078132625,2.670634965898351,2023,2687.170417710845,1132.6468720369412,671.7731275416974,4,4,3,612.2448401866687,19.53471741084156,24.47554079055081,1216.2611542741643,1,Italian Coast,Ferretti,Very Good,2462180.5819082833,2809457.4506229036,4.267971307053224,2687.170417710845,87538.27124946026,0.035553148251057515,40.26916215762594,21.76723156910165,Medium,New,Moderate,Mediterranean Marine,2023-10-09,258,2024-06-23,YACHT-0005,3034214.0466727363,2416133.407535697,2659155.028460946,2117475.3004411235,0.8763900593555445
7,42.63370252405913,7.342789830041598,2.5009643802897794,2020,2320.0007906305914,1642.2458929472584,562.9772139205179,3,6,2,1120.4731248735525,22.898467320182846,31.67477208749298,1778.5302860150189,4,Spanish Coast,Hatteras,Very Good,3618762.942444104,3828187.7600317965,5.806199484238487,580.0001976576478,84880.33476337076,0.09382248698063961,38.51989847751326,26.281393792651365,Superyacht,New,High-Performance,Luxury Yacht Group,2023-08-25,157,2024-01-29,YACHT-0006,4134442.7808343405,3292241.473627345,3908263.9778396324,3112136.130501929,0.9452940057501377
8,36.13947783322327,6.9527577025229546,1.8463290951454474,2014,3375.5785265046898,1660.1842821463708,1283.899015174897,4,4,5,915.8861624697782,21.42629806004451,20.47726545642264,1950.227476390144,10,French Riviera,Hatteras,Very Good,3049084.470531207,3830790.0153901884,5.197862399276376,337.557852650469,84369.90939941481,0.2767057135177236,45.93824763622213,25.34309340872097,Large,Modern,Moderate,Med Yacht Brokers,2023-11-29,241,2024-07-27,YACHT-0007,4137253.2166214036,3294479.413235562,3293011.228173704,2622212.644656838,0.7959414267765966
9,26.244204912520384,7.574329072979003,3.027396534745924,2001,4198.507044203228,1194.1501694335107,853.0838554681296,3,6,1,489.16734083240135,16.87989823378325,27.352787045884867,1531.72098768316,23,French Riviera,Viking,Very Good,2077471.4532909095,2779300.7568459855,3.4648883960092416,182.54378453057515,79159.24525874302,0.8763839513014675,45.50148017110683,18.63906117418833,Medium,Classic,Fast,Mediterranean Marine,2023-01-17,314,2023-11-27,YACHT-0008,3001644.8173936647,2390198.6508875475,2243669.1695541823,1786625.4498301821,0.7474799005374546
10,34.34048034868772,5.1971471826591475,3.2500561101012466,1990,2967.227928003429,200.0,703.3455886854327,3,7,2,994.6651627071478,24.222628031572675,15.625194630249997,2477.0589003955865,34,Greek Islands,Bertram,Fair,2240856.277118609,2896655.1506594243,6.607563561653306,87.27140964715967,65254.07490999876,0.9900851605676293,5.824030356280172,28.964800509703927,Large,Classic,Slow,Med Yacht Brokers,2023-11-20,308,2024-09-23,YACHT-0009,3128387.5627121786,2491123.4295671047,2420124.7792880978,1927136.3983220037,0.773601330005913
11,26.292658457500302,7.976091098451489,1.2139521085048206,2011,2226.971157056564,1057.2545567060758,1027.4534925053792,6,10,4,1062.6480910858027,19.630846238102368,28.567669045177762,2332.726609916128,13,Spanish Coast,Viking,Good,2080995.8487164336,2080995.8487164336,3.2964340718983096,171.3054736197357,79147.41113304213,0.49443459743765816,40.211017779546026,40.41615239491575,Medium,Mature,Fast,Mediterranean Marine,2023-01-23,188,2023-07-30,YACHT-0010,2247475.5166137484,1789656.4298961328,2247475.5166137484,1789656.4298961328,1.0
12,26.274161971437945,6.296399407038599,1.8898201771470284,1990,64.47310156552511,1580.9440931201282,398.00267912753446,3,15,3,775.5305722123468,23.832133560043506,29.510625387824838,1631.5485415001037,34,Croatia,Sunseeker,Excellent,1813908.1762226704,2295678.930251612,4.172886799726629,1.8962676931036797,69037.71767086347,1.2940469818584752,60.17105682909077,29.516852832657754,Medium,Classic,Fast,Mediterranean Marine,2023-01-09,262,2023-09-28,YACHT-0011,2479333.244671741,1974283.8800163863,1959020.830320484,1559961.0315514966,0.7901401856852264
13,31.935698172528273,9.112891308937899,1.8846861201701612,1990,1531.2924117514833,1844.304026845015,1132.0590767781077,3,15,3,795.4738021776182,22.430748425531313,37.165728977494425,1098.0915707718814,34,Italian Coast,Ferretti,Excellent,2335692.1369122793,2821095.6144891595,3.504452877782689,45.038012110337746,73137.34380548124,1.0646393204344435,57.75054664161131,24.90860847569948,Large,Classic,High-Performance,Med Yacht Brokers,2023-07-26,100,2023-11-03,YACHT-0012,3046783.2636482925,2426142.228460677,2522547.5078652618,2008695.2377445602,0.8279379560608134
14,14.693758042737617,4.966218272865648,1.748077519112908,2010,76.85332481296541,1460.3516712357766,758.1665880774652,4,8,1,182.33879618503613,27.122544794515143,30.551758322297673,1121.7206939806551,14,Monaco,Princess,Excellent,1356280.9790147862,1470577.317129322,2.9587418907906566,5.489523200926101,92303.20623695906,0.9527855269754829,99.38585261770761,12.409269000802487,Small,Mature,High-Performance,Mediterranean Marine,2023-02-14,234,2023-10-06,YACHT-0013,1588223.502499668,1264696.492731217,1464783.4573359692,1166401.641952716,0.9222779130459792
15,16.200657339895738,8.603945704747874,3.163579873545399,2004,3301.226366990232,1260.5069764621924,980.2363147005312,3,8,1,546.9676770029826,21.69681681283102,22.592794446337948,1606.3205954238222,20,Spanish Coast,Sunseeker,Excellent,1176239.8521973663,1176239.8521973663,1.882933469809765,165.0613183495116,72604.45224656152,1.2345178087773019,77.8059155265304,33.762066904286655,Small,Mature,Moderate,Luxury Yacht Group,2023-11-27,218,2024-07-02,YACHT-0014,1270339.0403731556,1011566.2728897351,1270339.0403731556,1011566.2728897351,1.0
16,25.501699766072218,6.296866175193972,2.344939088981757,2006,773.4570519665406,2646.605502849662,335.63796169307415,5,4,2,1053.108324905796,23.04971336467141,15.79252421571513,954.9847254766053,18,French Riviera,Sunseeker,Excellent,2144048.596147528,2441291.5922090514,4.049903405369204,42.96983622036336,84074.73289290298,0.7058353037293391,103.78153327531287,41.29561302054323,Medium,Mature,Slow,Luxury Yacht Group,2023-01-27,180,2023-07-26,YACHT-0015,2636594.9195857756,2099510.769299784,2315572.4838393303,1843881.792686874,0.8782435506638692
17,21.89735103732461,5.022872994578328,2.2883881269515114,2011,1653.0343112507478,1313.7569392473229,685.2722125601013,4,11,5,565.2130405392379,19.616414556474485,28.08517891592806,1634.4709813746354,13,Greek Islands,Azimut,Very Good,1657473.6704829196,1966373.9827104216,4.359527119431556,127.15648548082676,75692.88484519027,0.5936791156994815,59.99615830280062,25.81193677608846,Medium,Mature,Fast,Med Yacht Brokers,2023-07-07,37,2023-08-13,YACHT-0016,2123683.9013272556,1691081.6251309626,1790071.5641215532,1425427.3566153108,0.8429086659284831
