yacht_id,builder,length_m,price_eur,segment,age_years,location,cabins,crew_count,annual_crew_cost_eur,annual_maintenance_cost,operating_cost_ratio,charter_rate_weekly_eur,charter_demand_score,annual_charter_revenue,roi_years,fuel_consumption_lph,estimated_range_nm,efficiency_score,total_cost_5yr,investment_grade,beam_m,draft_m,gt,year_built,crew,max_speed_knots,cruise_speed_knots,fuel_capacity_l,recent_refit,price_per_meter,market_segment_score,builder_reputation_score,location_premium_mult,age_depreciation_factor,condition_factor,price_per_cabin,price_per_gt,length_to_beam_ratio,volume_efficiency,cabins_per_10m,crew_cost_per_1m_eur,maintenance_rate,fuel_efficiency,charter_yield_annual,efficiency_per_length,age_squared,log_length,log_price,log_price_per_meter,segment_encoded,builder_encoded,location_encoded,total_annual_cost,investment_return_10yr,break_even_charter_years,net_present_value,is_luxury_segment,is_large_yacht,is_efficient,is_good_investment,overall_quality_score,investment_attractiveness
YHT983,Feadship,116.1,558940000.0,Ultra-Luxury,1.9,Caribbean,19,,660000.0,29827700.0,0.054545738788492,639000.0,1.346,12782200.0,43.7,0.1,4295459.0,33864899.6,711376000.0,B-Grade,18.4,6.8,213.0,2023.0,12.0,18.0,13.6,531852.0,0.0,4814298.018949182,100.0,125.0,1.2,0.875,0.96,29417894.736842107,2624131.455399061,6.309782608695652,0.09970789798899,1.6365202411714042,5684.754521963824,0.05336476187068379,42954590.0,0.022868644219415323,291687.33505598624,3.61,4.754451888703846,20.141552690832672,15.387100802128826,3,7,1,30487700.0,152436000.0,43.72799674547417,381096250.0,1,1,0,0,6773057.4,30.2
YHT423,Oceanco,109.1,537140000.0,Ultra-Luxury,0.3,Dubai,18,,660000.0,30375100.0,0.0577782601674532,542000.0,1.18,10835600.0,49.6,0.1,4374050.0,33140768.6,692317800.0,B-Grade,18.5,8.2,169.0,2024.0,12.0,18.0,15.5,550059.0,1.0,4923373.052245647,100.0,115.0,1.18,0.977,0.951,29841111.111111112,3178343.1952662724,5.897297297297297,0.08373176109198108,1.6498625114573786,6049.495875343721,0.05654968909409092,43740500.0,0.020172766876419557,303765.0650779102,0.09,4.692264892839025,20.10176932612982,15.409504433290794,3,12,3,31035100.0,155177800.0,49.57178190409391,387938750.0,1,1,0,0,6628228.2,30.2
YHT370,Lürssen,117.3,534070000.0,Ultra-Luxury,0.1,Italian Riviera,19,,440000.0,35513700.0,0.0673205801755492,611000.0,1.1,12219100.0,43.7,0.1,4664238.0,45111844.4,713836200.0,B-Grade,20.7,8.1,253.0,2024.0,8.0,18.0,14.8,444874.0,0.0,4553026.427962489,100.0,125.0,1.1,0.994,0.979,28108947.36842105,2110948.6166007905,5.666666666666667,0.10419626787913235,1.619778346121057,3751.065643648764,0.0664963394311607,46642380.0,0.022879210590372047,384585.20375106565,0.010000000000000002,4.76473475565943,20.096037474475754,15.331302718816323,3,11,6,35953700.0,179766200.0,43.70780172025763,449421250.0,1,1,0,0,9022446.4,30.2
YHT723,Feadship,110.7,499330000.0,Ultra-Luxury,3.6,Singapore,18,,605000.0,39838200.0,0.0809946237153506,549000.0,1.231,10985400.0,45.5,0.1,3983958.0,32495139.2,701548600.0,B-Grade,18.7,7.5,204.0,2021.0,11.0,18.0,13.7,498069.0,0.0,4510659.439927733,100.0,125.0,1.15,0.777,0.981,27740555.555555556,2447696.0784313725,5.919786096256685,0.09854644000985464,1.6260162601626016,5465.221318879855,0.07978330963491079,39839580.0,0.02200028037570344,293542.35953026195,12.96,4.706823839714591,20.028777757783626,15.321953918069033,3,7,8,40443200.0,202218600.0,45.45396617328454,505540000.0,1,1,0,0,6499105.3,30.19
YHT482,Feadship,100.2,458220000.0,Ultra-Luxury,1.1,Caribbean,16,,605000.0,33592700.0,0.07463190496223,553000.0,1.289,11065600.0,41.4,0.1,5965888.0,65400164.1,629206900.0,B-Grade,17.4,6.3,152.0,2023.0,11.0,18.0,14.6,537436.0,0.0,4573053.892215569,100.0,125.0,1.2,0.929,0.949,28638750.0,3014605.263157895,5.7586206896551735,0.087181957923234,1.596806387225549,6037.924151696607,0.07331129151935752,59658880.0,0.02414909868622059,652696.248502994,1.2100000000000002,4.607168188650764,19.94285997609262,15.335691787441858,3,7,1,34197700.0,170986900.0,41.409412955465584,427471250.0,1,1,1,0,13080110.3,30.2
YHT884,Feadship,102.4,439870000.0,Ultra-Luxury,0.9,Dubai,17,,660000.0,22584400.0,0.0528437511334593,526000.0,1.18,10513700.0,41.8,0.1,4117667.0,31047631.5,556093100.0,B-Grade,16.3,6.4,145.0,2024.0,12.0,18.0,14.7,594256.0,1.0,4295605.46875,100.0,125.0,1.18,0.939,0.978,25874705.88235294,3033586.206896552,6.282208588957055,0.08687212423312883,1.66015625,6445.3125,0.05134335144474504,41176670.0,0.023901834632959737,303199.5263671875,0.81,4.628886712605407,19.901989786675834,15.273103074070425,3,7,3,23244400.0,116223100.0,41.83779259442442,290555000.0,1,1,0,0,6209603.8,30.2
YHT610,Lazzara,108.5,390460000.0,Ultra-Luxury,2.2,Caribbean,18,,440000.0,25103600.0,0.0654193266620381,550000.0,1.42,11007300.0,35.5,0.1,3755801.0,28171657.4,518177500.0,B-Grade,18.2,8.1,197.0,2022.0,8.0,18.0,16.0,514401.0,0.0,3598709.6774193547,100.0,105.0,1.2,0.859,0.88,21692222.222222224,1982030.4568527918,5.961538461538462,0.09976198916291083,1.6589861751152073,4055.2995391705067,0.06429237309839676,37558010.0,0.0281905957076269,259646.61198156682,4.840000000000001,4.686750172980514,19.78283608921893,15.096085916238415,3,10,1,25543600.0,127717500.0,35.47282258137781,319295000.0,1,1,0,0,5634403.0,30.2
YHT441,Feadship,115.5,387800000.0,Ultra-Luxury,2.4,Singapore,19,,660000.0,16793200.0,0.0450055608188008,417000.0,1.105,8337100.0,46.5,0.1,6052543.0,61729558.6,475066000.0,B-Grade,22.2,8.5,271.0,2022.0,12.0,18.0,15.1,585034.0,1.0,3357575.757575758,100.0,125.0,1.15,0.844,0.989,20410526.315789472,1430996.3099630997,5.202702702702703,0.10569010569010569,1.645021645021645,5714.285714285715,0.04330376482723053,60525430.0,0.021498452810727178,534455.0528138528,5.76,4.749270529961848,19.776000300772825,15.026729770810977,3,7,8,17453200.0,87266000.0,46.5149752311955,218165000.0,1,1,1,0,12345989.2,30.2
YHT574,Lürssen,116.7,386160000.0,Ultra-Luxury,6.7,Monaco,19,,495000.0,23721500.0,0.0627107984997475,406000.0,1.15,8111700.0,47.6,0.1,4090918.0,32274542.6,507244500.0,B-Grade,21.3,8.3,251.0,2018.0,9.0,18.0,14.2,476005.0,0.0,3308997.4293059125,100.0,125.0,1.15,0.625,0.943,20324210.52631579,1538486.0557768925,5.47887323943662,0.10097718559284873,1.6281062553556127,4241.645244215938,0.06142920033146882,40909180.0,0.02100605966438782,276559.9194515853,44.89,4.75960653929251,19.77176234931651,15.012155810024002,3,11,7,24216500.0,121084500.0,47.605310847294646,302706250.0,1,1,0,0,6454986.0,30.2
YHT108,Oceanco,104.8,363940000.0,Ultra-Luxury,27.9,Spanish Coast,14,35.0,1955551.117245572,20327268.497933146,0.061226629705937,417149.065359142,0.7031550741732809,5866409.639878446,62.03794524099087,317.4491465656029,2554.697748029085,8.047581087136866,475354098.0758936,B-Grade,,,,,,,,,,3472709.9236641224,,,,,,25995714.285714287,,,,1.33587786259542,18659.838905015,0.0558533508213803,8.047581087136866,0.016119167005216373,0.07678989586962659,778.41,4.6520537718869415,19.71249957684937,15.060445804962429,3,12,10,22282819.61517872,111414098.07589358,62.037945240990865,278535245.189734,1,1,0,0,,
